Image,Predicted-Lymphocyte
img_0,1
img_1,1
img_2,8
img_3,9
img_4,0
img_5,13
img_6,7
img_7,4
img_8,6
img_9,1
img_10,1
img_11,3
img_12,7
img_13,6
img_14,6
img_15,2
img_16,0
img_17,3
img_18,0
img_19,17
img_20,6
img_21,0
img_22,6
img_23,0
img_24,10
img_25,4
img_26,4
img_27,0
img_28,0
img_29,0
img_30,2
img_31,1
img_32,5
img_33,0
img_34,4
img_35,3
img_36,26
img_37,0
img_38,5
img_39,1
img_40,0
img_41,2
img_42,1
img_43,1
img_44,5
img_45,24
img_46,0
img_47,1
img_48,0
img_49,2
img_50,0
img_51,2
img_52,8
img_53,10
img_54,0
img_55,1
img_56,20
img_57,1
img_58,0
img_59,0
img_60,1
img_61,2
img_62,0
img_63,7
img_64,0
img_65,2
img_66,12
img_67,2
img_68,9
img_69,5
img_70,4
img_71,0
img_72,2
img_73,2
img_74,1
img_75,0
img_76,1
img_77,2
img_78,0
img_79,8
img_80,1
img_81,4
img_82,4
img_83,1
img_84,0
img_85,4
img_86,4
img_87,3
img_88,0
img_89,2
img_90,14
img_91,3
img_92,3
img_93,2
img_94,2
img_95,4
img_96,2
img_97,1
img_98,17
img_99,2
img_100,7
img_101,6
img_102,0
img_103,3
img_104,0
img_105,0
img_106,2
img_107,4
img_108,6
img_109,3
img_110,2
img_111,8
img_112,1
img_113,1
img_114,1
img_115,1
img_116,2
img_117,4
img_118,8
img_119,1
img_120,25
img_121,3
img_122,7
img_123,2
img_124,5
img_125,4
img_126,0
img_128,2
img_129,0
img_130,12
img_131,1
img_132,4
img_133,3
img_134,1
img_135,12
img_136,0
img_137,3
img_138,2
img_139,1
img_140,3
img_141,0
img_142,1
img_143,2
img_144,5
img_145,3
img_146,1
img_147,24
img_148,1
img_149,3
img_150,14
img_151,1
img_152,3
img_153,0
img_154,2
img_155,5
img_156,3
img_157,1
img_158,1
img_159,1
img_160,10
img_161,0
img_162,2
img_163,0
img_164,0
img_165,7
img_166,7
img_167,0
img_168,10
img_169,3
img_170,2
img_171,0
img_172,1
img_173,0
img_174,3
img_175,0
img_176,1
img_177,3
img_178,0
img_179,7
img_180,3
img_181,21
img_182,2
img_183,12
img_184,31
img_185,7
img_186,0
img_187,2
img_188,2
img_190,4
img_191,0
img_192,1
img_193,4
img_194,0
img_195,4
img_196,3
img_197,4
img_198,6
img_199,14
img_200,1
img_201,0
img_202,5
img_203,1
img_204,1
img_205,1
img_206,0
img_207,2
img_208,4
img_209,1
img_210,0
img_211,0
img_212,6
img_213,9
img_214,0
img_215,4
img_216,6
img_217,10
img_218,6
img_219,2
img_220,0
img_221,5
img_222,3
img_223,6
img_224,1
img_225,3
img_226,8
img_227,7
