Image,Ground-truth,Predicted-Lymphocyte_y
img_0,1,0
img_1,1,0
img_2,3,6
img_3,3,5
img_4,0,0
img_5,7,10
img_6,5,5
img_7,2,1
img_8,5,5
img_9,2,0
img_10,2,2
img_11,3,2
img_12,6,4
img_13,3,6
img_14,6,6
img_15,2,2
img_16,1,2
img_17,3,4
img_18,0,0
img_19,10,18
img_20,11,4
img_21,0,0
img_22,3,6
img_23,0,0
img_24,5,6
img_25,3,4
img_26,4,3
img_27,0,0
img_28,0,0
img_29,0,0
img_30,1,1
img_31,3,1
img_32,5,2
img_33,0,0
img_34,3,2
img_35,3,3
img_36,22,26
img_37,1,0
img_38,3,5
img_39,1,0
img_40,1,1
img_41,2,2
img_42,1,1
img_43,0,1
img_44,4,4
img_45,13,26
img_46,0,0
img_47,0,2
img_48,0,0
img_49,1,2
img_50,0,0
img_51,3,2
img_52,4,5
img_53,8,10
img_54,1,0
img_55,3,0
img_56,14,21
img_57,1,1
img_58,1,1
img_59,1,0
img_60,0,0
img_61,3,2
img_62,1,0
img_63,5,8
img_64,0,0
img_65,1,1
img_66,9,12
img_67,1,2
img_68,7,7
img_69,2,4
img_70,19,8
img_71,0,0
img_72,2,2
img_73,1,1
img_74,4,2
img_75,0,0
img_76,1,0
img_77,3,2
img_78,0,0
img_79,5,6
img_80,1,1
img_81,3,4
img_82,3,2
img_83,1,1
img_84,1,0
img_85,2,3
img_86,2,4
img_87,4,4
img_88,1,0
img_89,1,1
img_90,19,13
img_91,2,3
img_92,1,1
img_93,0,0
img_94,2,2
img_95,3,2
img_96,0,0
img_97,1,0
img_98,10,15
img_99,1,0
img_100,5,7
img_101,7,5
img_102,0,0
img_103,7,3
img_104,0,0
img_105,0,0
img_106,2,2
img_107,4,5
img_108,12,4
img_109,3,4
img_110,1,1
img_111,15,6
img_112,2,1
img_113,2,1
img_114,1,2
img_115,3,0
img_116,2,1
img_117,9,4
img_118,5,7
img_119,3,2
img_120,17,21
img_121,5,2
img_122,15,7
img_123,0,0
img_124,2,2
img_125,3,4
img_126,1,0
img_127,0,0
img_128,2,1
img_129,0,0
img_130,11,8
img_131,1,1
img_132,2,0
img_133,2,2
img_134,1,0
img_135,7,14
img_136,0,0
img_137,1,3
img_138,26,1
img_139,2,1
img_140,1,2
img_141,1,0
img_142,2,1
img_143,1,1
img_144,11,1
img_145,4,2
img_146,1,1
img_147,24,25
img_148,1,1
img_149,2,0
img_150,4,7
img_151,0,1
img_152,2,3
img_153,0,0
img_154,10,5
img_155,26,5
img_156,1,3
img_157,1,0
img_158,0,0
img_159,0,1
img_160,10,9
img_161,0,0
img_162,1,2
img_163,2,0
img_164,0,0
img_165,4,7
img_166,4,7
img_167,1,0
img_168,7,5
img_169,3,4
img_170,2,1
img_171,1,0
img_172,0,0
img_173,1,0
img_174,1,3
img_175,0,0
img_176,1,1
img_177,3,1
img_178,0,0
img_179,20,7
img_180,4,2
img_181,10,21
img_182,2,2
img_183,14,11
img_184,24,26
img_185,6,6
img_186,0,0
img_187,2,2
img_188,2,2
img_189,0,0
img_190,3,4
img_191,1,0
img_192,1,1
img_193,3,0
img_194,0,0
img_195,4,5
img_196,1,3
img_197,2,4
img_198,4,6
img_199,10,13
img_200,5,1
img_201,0,0
img_202,6,5
img_203,2,0
img_204,1,0
img_205,0,1
img_206,0,0
img_207,1,0
img_208,2,4
img_209,1,1
img_210,0,0
img_211,1,0
img_212,9,3
img_213,6,6
img_214,1,0
img_215,2,2
img_216,5,3
img_217,13,9
img_218,3,4
img_219,1,1
img_220,1,0
img_221,5,5
img_222,3,2
img_223,6,6
img_224,1,1
img_225,5,3
img_226,5,7
img_227,9,6
img_228,2,2
img_229,7,7
img_230,3,0
img_231,1,1
img_232,20,14
img_233,2,3
img_234,6,8
img_235,5,10
img_236,7,2
img_237,4,7
img_238,7,1
img_239,5,2
img_240,1,2
img_241,13,23
img_242,3,2
img_243,0,0
img_244,0,0
img_245,6,2
img_246,0,0
img_247,5,3
img_248,5,4
img_249,1,1
img_250,3,3
img_251,0,1
img_252,0,0
img_253,2,1
img_254,7,6
img_255,1,0
img_256,0,0
img_257,1,0
img_258,1,1
img_259,1,2
img_260,2,1
img_261,1,1
img_262,3,4
img_263,6,4
img_264,2,4
img_265,0,0
img_266,4,9
img_267,1,0
img_268,2,2
img_269,2,2
img_270,1,1
img_271,2,0
img_272,1,1
img_273,1,0
img_274,4,6
img_275,2,2
img_276,1,2
img_277,1,1
img_278,11,8
img_279,7,11
img_280,3,1
img_281,6,3
img_282,1,3
img_283,1,0
img_284,1,2
img_285,1,0
img_286,3,4
img_287,3,3
img_288,2,3
img_289,0,0
img_290,2,1
img_291,0,0
img_292,7,8
img_293,4,6
img_294,1,1
img_295,1,1
img_296,1,0
img_297,11,12
img_298,0,0
img_299,0,0
img_300,12,17
img_301,1,0
img_302,14,8
img_303,4,4
img_304,2,2
img_305,1,0
img_306,7,6
img_307,5,5
img_308,0,0
img_309,2,5
img_310,1,2
img_311,2,2
img_312,13,6
img_313,3,1
img_314,0,0
img_315,1,2
img_316,1,1
img_317,7,8
img_318,2,1
img_319,1,1
img_320,3,3
img_321,23,4
img_322,6,1
img_323,3,3
img_324,7,5
img_325,1,0
img_326,0,0
img_327,0,0
img_328,0,1
img_329,0,2
img_330,3,1
img_331,5,5
img_332,2,0
img_333,3,3
img_334,3,2
img_335,10,11
img_336,13,13
img_337,8,12
img_338,1,0
img_339,1,0
img_340,2,2
img_341,27,20
img_342,1,5
img_343,20,5
img_344,1,1
img_345,0,0
img_346,1,1
img_347,0,0
img_348,3,4
img_349,1,1
img_350,1,0
img_351,0,0
img_352,36,43
img_353,2,1
img_354,1,2
img_355,2,3
img_356,1,0
