Image,Predicted-Lymphocyte
img_0,0
img_1,1
img_2,6
img_3,6
img_4,0
img_5,10
img_6,6
img_7,1
img_8,6
img_9,0
img_10,2
img_11,1
img_12,6
img_13,6
img_14,6
img_15,2
img_16,2
img_17,3
img_18,0
img_19,21
img_20,3
img_21,0
img_22,6
img_23,0
img_24,8
img_25,4
img_26,5
img_27,0
img_28,0
img_29,0
img_30,2
img_31,1
img_32,4
img_33,0
img_34,2
img_35,3
img_36,28
img_37,0
img_38,5
img_39,1
img_40,0
img_41,2
img_42,1
img_43,1
img_44,3
img_45,27
img_46,0
img_47,1
img_48,0
img_49,0
img_50,0
img_51,2
img_52,6
img_53,9
img_54,0
img_55,0
img_56,21
img_57,1
img_58,1
img_59,1
img_60,0
img_61,2
img_62,0
img_63,6
img_64,0
img_65,1
img_66,13
img_67,2
img_68,7
img_69,5
img_70,15
img_71,0
img_72,2
img_73,1
img_74,4
img_75,0
img_76,1
img_77,2
img_78,0
img_79,9
img_80,1
img_81,5
img_82,2
img_83,1
img_84,0
img_85,3
img_86,4
img_87,5
img_88,0
img_89,1
img_90,14
img_91,3
img_92,4
img_93,0
img_94,2
img_95,2
img_96,0
img_97,1
img_98,11
img_99,0
img_100,7
img_101,7
img_102,0
img_103,3
img_104,0
img_105,0
img_106,2
img_107,5
img_108,5
img_109,4
img_110,1
img_111,7
img_112,1
img_113,1
img_114,2
img_115,0
img_116,2
img_117,4
img_118,7
img_119,2
img_120,26
img_121,3
img_122,9
img_123,0
img_124,4
img_125,4
img_126,0
img_128,2
img_129,0
img_130,11
img_131,1
img_132,1
img_133,2
img_134,1
img_135,14
img_136,1
img_137,3
img_138,1
img_139,1
img_140,3
img_141,0
img_142,1
img_143,1
img_144,2
img_145,3
img_146,1
img_147,27
img_148,1
img_149,1
img_150,11
img_151,0
img_152,3
img_153,0
img_154,4
img_155,5
img_156,3
img_157,1
img_158,0
img_159,1
img_160,11
img_161,0
img_162,2
img_163,0
img_164,0
img_165,6
img_166,6
img_167,0
img_168,8
img_169,5
img_170,3
img_171,1
img_172,0
img_173,0
img_174,3
img_175,0
img_176,2
img_177,2
img_178,0
img_179,7
img_180,2
img_181,21
img_182,2
img_183,11
img_184,34
img_185,6
img_186,0
img_187,2
img_188,2
img_190,4
img_191,1
img_192,1
img_193,2
img_194,0
img_195,5
img_196,3
img_197,4
img_198,5
img_199,13
img_200,1
img_201,0
img_202,5
img_203,0
img_204,0
img_205,1
img_206,0
img_207,0
img_208,4
img_209,1
img_210,0
img_211,0
img_212,7
img_213,8
img_214,0
img_215,3
img_216,3
img_217,9
img_218,6
img_219,1
img_220,0
img_221,5
img_222,3
img_223,6
img_224,1
img_225,3
img_226,8
img_227,7
img_228,3
img_229,8
img_230,2
img_231,1
img_232,15
img_233,4
img_234,8
img_235,10
img_236,6
img_237,6
img_238,1
img_239,3
img_240,1
img_241,26
img_242,2
img_243,0
img_244,0
img_245,1
img_246,0
img_247,5
img_248,4
img_249,2
img_250,3
img_251,1
img_252,0
img_253,2
img_254,7
img_255,0
img_256,0
img_257,0
img_258,1
img_259,2
img_260,0
img_261,0
img_262,4
img_263,4
img_264,4
img_265,0
img_266,9
img_267,0
img_268,2
img_269,2
img_270,1
img_271,1
img_272,1
img_273,1
img_274,6
img_275,2
img_276,2
img_277,1
img_278,14
img_279,11
img_280,1
img_281,4
img_282,2
img_283,3
img_284,2
img_285,1
img_286,6
img_287,3
img_288,4
img_289,0
img_290,1
img_291,0
img_292,8
img_293,6
img_294,0
img_295,0
img_296,0
img_297,12
img_298,0
img_299,0
img_300,19
img_301,0
img_302,14
img_303,4
img_304,4
img_305,0
img_306,10
img_307,5
img_308,0
img_309,5
img_310,2
img_311,2
img_312,11
img_313,1
img_314,0
img_315,2
img_316,1
img_317,7
img_318,0
img_319,1
img_320,6
img_321,7
img_322,2
img_323,3
img_324,5
img_325,0
img_326,0
img_327,0
img_328,3
img_329,0
img_330,2
img_331,6
img_332,1
img_333,6
img_334,2
img_335,11
img_336,16
img_337,12
img_338,0
img_339,0
img_340,2
img_341,23
img_342,4
img_343,8
img_344,1
img_345,0
img_346,1
img_347,0
img_348,4
img_349,1
img_350,1
img_352,43
img_353,1
img_354,2
img_355,2
img_356,0
img_357,5
img_358,1
img_359,0
img_360,20
img_361,0
img_362,1
img_363,2
img_364,0
img_365,0
img_366,2
img_367,0
img_368,1
img_369,4
img_370,1
img_371,12
img_372,3
img_373,0
img_374,0
img_375,3
img_376,3
img_377,2
img_378,5
img_379,13
img_380,2
img_381,8
img_382,5
img_383,1
img_384,4
img_385,0
img_386,0
img_387,2
img_388,2
img_389,1
img_390,1
img_391,4
img_392,3
img_393,1
img_394,1
img_395,7
img_396,0
img_397,1
img_398,2
img_399,6
img_400,2
img_401,0
img_402,1
img_403,4
img_404,0
img_405,5
img_406,0
img_407,6
img_408,1
img_409,1
img_411,3
img_412,0
img_413,2
img_414,2
img_415,10
img_416,0
img_417,2
img_418,1
img_419,0
img_420,2
img_421,1
img_422,1
img_423,1
img_424,1
img_425,4
img_426,1
img_427,4
img_428,1
img_429,1
img_430,7
img_431,1
img_432,2
img_433,1
img_434,19
img_435,0
img_436,3
img_437,18
img_438,10
img_439,3
img_440,2
img_441,0
img_442,9
img_443,0
img_444,5
img_445,1
img_446,0
img_447,11
img_448,3
img_449,4
img_450,0
img_451,0
img_452,8
img_453,1
img_454,8
img_455,1
img_456,0
img_457,2
img_458,2
img_459,9
img_460,4
img_461,4
img_462,3
img_463,8
img_464,2
img_465,4
img_466,1
img_467,4
img_468,5
img_469,0
img_470,1
img_471,2
img_472,5
img_473,17
img_474,0
img_475,0
img_476,5
img_477,5
img_478,1
img_479,2
img_480,17
img_481,0
img_482,2
img_483,2
img_484,9
img_485,13
img_486,5
img_487,1
img_488,1
img_489,0
img_490,1
img_491,11
img_492,0
img_493,0
img_494,0
img_495,6
img_496,3
img_497,1
img_498,11
img_499,2
img_500,3
img_501,0
img_502,4
img_503,1
img_504,1
img_505,1
img_506,1
img_507,1
img_508,7
img_509,3
img_510,0
img_511,0
img_512,0
img_513,17
img_514,1
img_515,5
img_516,0
img_517,8
img_518,1
img_519,0
img_520,0
img_521,5
img_522,1
img_523,0
img_524,0
img_525,0
img_526,7
img_527,1
img_528,0
img_529,1
img_530,1
img_531,2
img_532,3
img_533,3
img_534,0
img_535,1
img_536,0
img_537,9
img_538,1
img_539,2
img_540,15
img_541,1
img_542,4
img_543,0
img_544,23
img_545,5
img_546,1
img_547,5
img_548,0
img_549,1
img_550,1
img_551,13
img_552,0
img_553,1
img_554,0
img_555,0
img_556,0
img_557,17
img_558,0
img_559,0
img_560,4
img_561,2
img_562,0
img_563,0
img_564,1
img_565,6
img_566,0
img_567,5
img_568,1
img_569,3
img_570,4
img_571,0
img_572,5
img_573,0
img_574,1
img_575,1
img_576,1
img_578,3
img_579,1
img_580,0
img_581,1
img_582,1
img_583,3
img_584,0
img_585,1
img_586,30
img_587,0
img_588,3
img_589,15
img_590,0
img_591,1
img_592,0
img_593,16
img_594,2
img_595,0
img_596,1
img_597,8
img_598,1
img_599,2
img_600,2
img_601,0
img_602,0
img_603,4
img_604,5
img_605,3
img_606,2
img_607,0
img_608,0
img_609,5
img_610,3
img_611,0
img_612,0
img_613,0
img_614,0
img_615,1
img_616,1
img_617,3
img_618,9
img_619,0
img_620,0
img_621,0
img_622,10
img_623,1
img_624,2
img_625,2
img_626,0
img_627,0
img_628,0
img_629,11
img_630,1
img_631,0
img_632,0
img_633,1
img_634,15
img_635,7
img_636,1
img_637,5
img_638,2
img_639,1
img_640,27
img_641,2
img_642,0
img_643,1
img_644,0
img_645,1
img_646,4
img_647,0
img_648,2
img_649,2
img_650,0
img_651,2
img_652,2
img_653,2
img_654,5
img_655,0
img_656,6
img_657,0
img_658,0
img_659,3
img_660,1
img_661,1
img_662,4
img_663,2
img_664,15
img_665,1
img_666,1
img_667,2
img_668,8
img_669,0
img_670,3
img_671,3
img_672,0
img_673,12
img_674,1
img_675,6
img_676,0
