Image,Predicted-Lymphocyte_x,Predicted-Lymphocyte_y
img_0,0,1.0
img_1,0,1.0
img_2,0,8.0
img_3,0,9.0
img_4,0,0.0
img_5,0,13.0
img_6,0,7.0
img_7,0,4.0
img_8,0,6.0
img_9,0,1.0
img_10,0,1.0
img_11,0,3.0
img_12,0,7.0
img_13,0,6.0
img_14,0,6.0
img_15,0,2.0
img_16,0,0.0
img_17,0,3.0
img_18,0,0.0
img_19,0,17.0
img_20,0,6.0
img_21,0,0.0
img_22,0,6.0
img_23,0,0.0
img_24,0,10.0
img_25,0,4.0
img_26,0,4.0
img_27,0,0.0
img_28,0,0.0
img_29,0,0.0
img_30,0,2.0
img_31,0,1.0
img_32,0,5.0
img_33,0,0.0
img_34,0,4.0
img_35,0,3.0
img_36,0,26.0
img_37,0,0.0
img_38,0,5.0
img_39,0,1.0
img_40,0,0.0
img_41,0,2.0
img_42,0,1.0
img_43,0,1.0
img_44,0,5.0
img_45,0,24.0
img_46,0,0.0
img_47,0,1.0
img_48,0,0.0
img_49,0,2.0
img_50,0,0.0
img_51,0,2.0
img_52,0,8.0
img_53,0,10.0
img_54,0,0.0
img_55,0,1.0
img_56,0,20.0
img_57,0,1.0
img_58,0,0.0
img_59,0,0.0
img_60,0,1.0
img_61,0,2.0
img_62,0,0.0
img_63,0,7.0
img_64,0,0.0
img_65,0,2.0
img_66,0,12.0
img_67,0,2.0
img_68,0,9.0
img_69,0,5.0
img_70,0,4.0
img_71,0,0.0
img_72,0,2.0
img_73,0,2.0
img_74,0,1.0
img_75,0,0.0
img_76,0,1.0
img_77,0,2.0
img_78,0,0.0
img_79,0,8.0
img_80,0,1.0
img_81,0,4.0
img_82,0,4.0
img_83,0,1.0
img_84,0,0.0
img_85,0,4.0
img_86,0,4.0
img_87,0,3.0
img_88,0,0.0
img_89,0,2.0
img_90,0,14.0
img_91,0,3.0
img_92,0,3.0
img_93,0,2.0
img_94,0,2.0
img_95,0,4.0
img_96,0,2.0
img_97,0,1.0
img_98,0,17.0
img_99,0,2.0
img_100,0,7.0
img_101,0,6.0
img_102,0,0.0
img_103,0,3.0
img_104,0,0.0
img_105,0,0.0
img_106,0,2.0
img_107,0,4.0
img_108,0,6.0
img_109,0,3.0
img_110,0,2.0
img_111,0,8.0
img_112,0,1.0
img_113,0,1.0
img_114,0,1.0
img_115,0,1.0
img_116,0,2.0
img_117,0,4.0
img_118,0,8.0
img_119,0,1.0
img_120,0,25.0
img_121,0,3.0
img_122,0,7.0
img_123,0,2.0
img_124,0,5.0
img_125,0,4.0
img_126,0,0.0
img_127,0,0.0
img_128,0,2.0
img_129,0,0.0
img_130,0,12.0
img_131,0,1.0
img_132,0,4.0
img_133,0,3.0
img_134,0,1.0
img_135,0,12.0
img_136,0,0.0
img_137,0,3.0
img_138,0,2.0
img_139,0,1.0
img_140,0,3.0
img_141,0,0.0
img_142,0,1.0
img_143,0,2.0
img_144,0,5.0
img_145,0,3.0
img_146,0,1.0
img_147,0,24.0
img_148,0,1.0
img_149,0,3.0
img_150,0,14.0
img_151,0,1.0
img_152,0,3.0
img_153,0,0.0
img_154,0,2.0
img_155,0,5.0
img_156,0,3.0
img_157,0,1.0
img_158,0,1.0
img_159,0,1.0
img_160,0,10.0
img_161,0,0.0
img_162,0,2.0
img_163,0,0.0
img_164,0,0.0
img_165,0,7.0
img_166,0,7.0
img_167,0,0.0
img_168,0,10.0
img_169,0,3.0
img_170,0,2.0
img_171,0,0.0
img_172,0,1.0
img_173,0,0.0
img_174,0,3.0
img_175,0,0.0
img_176,0,1.0
img_177,0,3.0
img_178,0,0.0
img_179,0,7.0
img_180,0,3.0
img_181,0,21.0
img_182,0,2.0
img_183,0,12.0
img_184,0,31.0
img_185,0,7.0
img_186,0,0.0
img_187,0,2.0
img_188,0,2.0
img_189,0,0.0
img_190,0,4.0
img_191,0,0.0
img_192,0,1.0
img_193,0,4.0
img_194,0,0.0
img_195,0,4.0
img_196,0,3.0
img_197,0,4.0
img_198,0,6.0
img_199,0,14.0
img_200,0,1.0
img_201,0,0.0
img_202,0,5.0
img_203,0,1.0
img_204,0,1.0
img_205,0,1.0
img_206,0,0.0
img_207,0,2.0
img_208,0,4.0
img_209,0,1.0
img_210,0,0.0
img_211,0,0.0
img_212,0,6.0
img_213,0,9.0
img_214,0,0.0
img_215,0,4.0
img_216,0,6.0
img_217,0,10.0
img_218,0,6.0
img_219,0,2.0
img_220,0,0.0
img_221,0,5.0
img_222,0,3.0
img_223,0,6.0
img_224,0,1.0
img_225,0,3.0
img_226,0,8.0
img_227,0,7.0
img_228,0,4.0
img_229,0,4.0
img_230,0,1.0
img_231,0,2.0
img_232,0,15.0
img_233,0,4.0
img_234,0,10.0
img_235,0,13.0
img_236,0,5.0
img_237,0,7.0
img_238,0,1.0
img_239,0,3.0
img_240,0,1.0
img_241,0,27.0
img_242,0,2.0
img_243,0,0.0
img_244,0,0.0
img_245,0,5.0
img_246,0,1.0
img_247,0,4.0
img_248,0,5.0
img_249,0,2.0
img_250,0,2.0
img_251,0,1.0
img_252,0,0.0
img_253,0,1.0
img_254,0,7.0
img_255,0,0.0
img_256,0,0.0
img_257,0,0.0
img_258,0,1.0
img_259,0,2.0
img_260,0,0.0
img_261,0,0.0
img_262,0,5.0
img_263,0,5.0
img_264,0,2.0
img_265,0,0.0
img_266,0,10.0
img_267,0,1.0
img_268,0,3.0
img_269,0,2.0
img_270,0,1.0
img_271,0,0.0
img_272,0,1.0
img_273,0,1.0
img_274,0,6.0
img_275,0,2.0
img_276,0,2.0
img_277,0,1.0
img_278,0,16.0
img_279,0,10.0
img_280,0,2.0
img_281,0,5.0
img_282,0,3.0
img_283,0,2.0
img_284,0,2.0
img_285,0,2.0
img_286,0,7.0
img_287,0,3.0
img_288,0,4.0
img_289,0,0.0
img_290,0,1.0
img_291,0,0.0
img_292,0,10.0
img_293,0,7.0
img_294,0,1.0
img_295,0,1.0
img_296,0,3.0
img_297,0,11.0
img_298,0,0.0
img_299,0,0.0
img_300,0,18.0
img_301,0,0.0
img_302,0,6.0
img_303,0,4.0
img_304,0,2.0
img_305,0,1.0
img_306,0,8.0
img_307,0,9.0
img_308,0,0.0
img_309,0,5.0
img_310,0,2.0
img_311,0,3.0
img_312,0,1.0
img_313,0,1.0
img_314,0,2.0
img_315,0,2.0
img_316,0,1.0
img_317,0,9.0
img_318,0,0.0
img_319,0,1.0
img_320,0,8.0
img_321,0,9.0
img_322,0,3.0
img_323,0,5.0
img_324,0,5.0
img_325,0,0.0
img_326,0,0.0
img_327,0,0.0
img_328,0,0.0
img_329,0,0.0
img_330,0,1.0
img_331,0,7.0
img_332,0,2.0
img_333,0,4.0
img_334,0,3.0
img_335,0,10.0
img_336,0,15.0
img_337,0,7.0
img_338,0,0.0
img_339,0,0.0
img_340,0,2.0
